time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1584175554.39310598,0.02663984,0.00784191,0.00000234,26968.00000000,0.02797140,0.000000,0.000000
1584175554.49323797,0.02665977,0.00831550,0.00000237,27424.00000000,0.03030527,0.000000,0.000000
1584175554.59325194,0.02666884,0.00799547,0.00000238,28077.00000000,0.02833812,0.000000,0.000000
1584175554.69340801,0.02670636,0.00898047,0.00000254,28754.00000000,0.03364890,0.000000,0.000000
1584175554.79345798,0.02672977,0.00893595,0.00000244,29454.00000000,0.03108280,0.000000,0.000000
1584175554.89358902,0.02676071,0.00944166,0.00000247,30096.00000000,0.03254708,0.000000,0.000000
1584175554.99365306,0.02678749,0.00901557,0.00000242,30825.00000000,0.03182201,0.000000,0.000000
1584175555.09372401,0.02682354,0.00822673,0.00000261,31475.00000000,0.03363617,0.000000,0.000000
1584175555.19379902,0.02684799,0.00869993,0.00000247,32221.00000000,0.03149421,0.000000,0.000000
1584175555.29391694,0.02686342,0.00784033,0.00000242,32821.00000000,0.02981145,0.000000,0.000000
1584175555.39399695,0.02687299,0.00755717,0.00000244,33414.00000000,0.02870930,0.000000,0.000000
1584175555.49404407,0.02688680,0.00857917,0.00000241,33865.00000000,0.02955323,0.000000,0.000000
1584175555.59415293,0.02689737,0.00692838,0.00000236,33708.00000000,0.02894783,0.000000,0.000000
1584175555.69422293,0.02690201,0.00672639,0.00000235,34113.00000000,0.02780530,0.000000,0.000000
1584175555.79434609,0.02690759,0.00695741,0.00000236,34389.00000000,0.02800233,0.000000,0.000000
1584175555.89439988,0.02690737,0.00625669,0.00000238,34629.00000000,0.02686421,0.000000,0.000000
1584175555.99450111,0.02691533,0.00662636,0.00000236,34895.00000000,0.02849010,0.000000,0.000000
1584175556.09458089,0.02692162,0.00633604,0.00000238,34953.00000000,0.02817325,0.000000,0.000000
1584175556.19470191,0.02692923,0.00674094,0.00000242,35212.00000000,0.02845146,0.000000,0.000000
1584175556.29474306,0.02693287,0.00620552,0.00000244,35295.00000000,0.02766505,0.000000,0.000000
1584175556.39484310,0.02692910,0.00616597,0.00000242,35478.00000000,0.02616713,0.000000,0.000000
1584175556.49495602,0.02692435,0.00552303,0.00000241,35615.00000000,0.02595996,0.000000,0.000000
1584175556.59509492,0.02692286,0.00558973,0.00000260,35717.00000000,0.02661917,0.000000,0.000000
1584175556.69511604,0.02691187,0.00514563,0.00000244,35828.00000000,0.02465881,0.000000,0.000000
1584175556.79515100,0.02689688,0.00523421,0.00000248,35900.00000000,0.02380994,0.000000,0.000000
1584175556.89532304,0.02687842,0.00495636,0.00000248,36006.00000000,0.02305643,0.000000,0.000000
1584175556.99536204,0.02685736,0.00492090,0.00000248,36069.00000000,0.02247703,0.000000,0.000000
1584175557.09545302,0.02684415,0.00524406,0.00000247,36199.00000000,0.02408234,0.000000,0.000000
1584175557.19552493,0.02682927,0.00539638,0.00000246,36191.00000000,0.02370492,0.000000,0.000000
1584175557.29567194,0.02682152,0.00544603,0.00000242,36317.00000000,0.02518761,0.000000,0.000000
1584175557.39568996,0.02680776,0.00529426,0.00000241,36451.00000000,0.02389038,0.000000,0.000000
1584175557.49579597,0.02680559,0.00593922,0.00000243,36577.00000000,0.02634388,0.000000,0.000000
1584175557.59588504,0.02681366,0.00608059,0.00000261,36747.00000000,0.02853957,0.000000,0.000000
1584175557.69599390,0.02681393,0.00632234,0.00000247,36919.00000000,0.02687242,0.000000,0.000000
1584175557.79608107,0.02683335,0.00680121,0.00000264,37033.00000000,0.03102746,0.000000,0.000000
1584175557.89611912,0.02685329,0.00676846,0.00000257,37202.00000000,0.03118154,0.000000,0.000000
1584175557.99624300,0.02686565,0.00675358,0.00000244,37359.00000000,0.02955921,0.000000,0.000000
1584175558.09631991,0.02687705,0.00658886,0.00000241,37453.00000000,0.02937285,0.000000,0.000000
1584175558.19646406,0.02688851,0.00698118,0.00000243,37572.00000000,0.02941024,0.000000,0.000000
1584175558.29652309,0.02689962,0.00698065,0.00000241,37513.00000000,0.02935572,0.000000,0.000000
1584175558.39657497,0.02691780,0.00889787,0.00000241,37795.00000000,0.03095318,0.000000,0.000000
1584175558.49669909,0.02693362,0.00776989,0.00000246,37741.00000000,0.03046152,0.000000,0.000000
1584175558.59678698,0.02695466,0.00844888,0.00000247,38103.00000000,0.03166785,0.000000,0.000000
1584175558.69686890,0.02697597,0.00843061,0.00000261,38327.00000000,0.03176939,0.000000,0.000000
1584175558.79691792,0.02698672,0.00787202,0.00000244,38995.00000000,0.02941738,0.000000,0.000000
1584175558.89699507,0.02700336,0.00855093,0.00000250,39319.00000000,0.03078025,0.000000,0.000000
1584175558.99708390,0.02701966,0.00865065,0.00000245,39740.00000000,0.03073601,0.000000,0.000000
